date,sku,category,unit_price,lead_time_days,promotion,inventory,demand
2024-04-16,SKU-001,Electronics,155.48,2,0,175.07,57.58
2024-04-17,SKU-001,Electronics,155.48,2,0,392.94,52.41
2024-04-18,SKU-001,Electronics,155.48,2,0,361.36,50.58
2024-04-19,SKU-001,Electronics,155.48,2,0,472.8,55.57
2024-04-20,SKU-001,Electronics,155.48,2,1,231.39,71.71
2024-04-21,SKU-001,Electronics,155.48,2,0,212.96,62.24
2024-04-22,SKU-001,Electronics,155.48,2,0,383.77,50.18
2024-04-23,SKU-001,Electronics,155.48,2,0,461.55,53.79
2024-04-24,SKU-001,Electronics,155.48,2,0,404.72,56.27
2024-04-25,SKU-001,Electronics,155.48,2,0,310.78,51.9
2024-04-26,SKU-001,Electronics,155.48,2,1,329.96,67.22
2024-04-27,SKU-001,Electronics,155.48,2,0,411.34,59.73
2024-04-28,SKU-001,Electronics,155.48,2,0,327.56,52.73
2024-04-29,SKU-001,Electronics,155.48,2,1,400.42,65.67
2024-04-30,SKU-001,Electronics,155.48,2,0,380.21,53.31
2024-05-01,SKU-001,Electronics,155.48,2,0,434.79,54.22
2024-05-02,SKU-001,Electronics,155.48,2,0,271.56,51.94
2024-05-03,SKU-001,Electronics,155.48,2,0,444.05,52.18
2024-05-04,SKU-001,Electronics,155.48,2,0,256.88,55.18
2024-05-05,SKU-001,Electronics,155.48,2,0,222.56,60.1
2024-05-06,SKU-001,Electronics,155.48,2,1,320.88,65.04
2024-05-07,SKU-001,Electronics,155.48,2,0,108.92,44.94
2024-05-08,SKU-001,Electronics,155.48,2,0,210.23,56.36
2024-05-09,SKU-001,Electronics,155.48,2,1,518.2,55.07
2024-05-10,SKU-001,Electronics,155.48,2,0,327.61,49.26
2024-05-11,SKU-001,Electronics,155.48,2,0,188.65,57.69
2024-05-12,SKU-001,Electronics,155.48,2,0,251.72,59.63
2024-05-13,SKU-001,Electronics,155.48,2,0,401.75,47.51
2024-05-14,SKU-001,Electronics,155.48,2,0,321.52,55.96
2024-05-15,SKU-001,Electronics,155.48,2,0,295.49,51.74
2024-05-16,SKU-001,Electronics,155.48,2,0,136.97,49.1
2024-05-17,SKU-001,Electronics,155.48,2,0,281.42,48.68
2024-05-18,SKU-001,Electronics,155.48,2,1,538.6,66.35
2024-05-19,SKU-001,Electronics,155.48,2,0,423.98,55.55
2024-05-20,SKU-001,Electronics,155.48,2,0,271.65,52.85
2024-05-21,SKU-001,Electronics,155.48,2,0,414.6,51.27
2024-05-22,SKU-001,Electronics,155.48,2,0,365.19,47.38
2024-05-23,SKU-001,Electronics,155.48,2,0,173.65,48.13
2024-05-24,SKU-001,Electronics,155.48,2,0,217.0,50.06
2024-05-25,SKU-001,Electronics,155.48,2,0,480.66,55.16
2024-05-26,SKU-001,Electronics,155.48,2,0,157.31,50.39
2024-05-27,SKU-001,Electronics,155.48,2,0,466.54,50.22
2024-05-28,SKU-001,Electronics,155.48,2,0,372.3,48.51
2024-05-29,SKU-001,Electronics,155.48,2,0,406.32,48.24
2024-05-30,SKU-001,Electronics,155.48,2,0,287.49,44.94
2024-05-31,SKU-001,Electronics,155.48,2,0,238.53,44.66
2024-06-01,SKU-001,Electronics,155.48,2,0,180.26,53.29
2024-06-02,SKU-001,Electronics,155.48,2,0,474.24,52.8
2024-06-03,SKU-001,Electronics,155.48,2,0,411.49,50.55
2024-06-04,SKU-001,Electronics,155.48,2,0,407.06,46.28
2024-06-05,SKU-001,Electronics,155.48,2,1,168.65,55.94
2024-06-06,SKU-001,Electronics,155.48,2,0,317.97,43.19
2024-06-07,SKU-001,Electronics,155.48,2,0,157.98,50.76
2024-06-08,SKU-001,Electronics,155.48,2,0,162.16,52.24
2024-06-09,SKU-001,Electronics,155.48,2,0,293.33,55.38
2024-06-10,SKU-001,Electronics,155.48,2,0,381.7,44.05
2024-06-11,SKU-001,Electronics,155.48,2,0,297.64,46.21
2024-06-12,SKU-001,Electronics,155.48,2,0,201.98,46.85
2024-06-13,SKU-001,Electronics,155.48,2,0,360.42,42.02
2024-06-14,SKU-001,Electronics,155.48,2,0,185.22,46.06
2024-06-15,SKU-001,Electronics,155.48,2,0,319.33,48.22
2024-06-16,SKU-001,Electronics,155.48,2,0,250.69,59.29
2024-06-17,SKU-001,Electronics,155.48,2,1,179.85,62.1
2024-06-18,SKU-001,Electronics,155.48,2,0,256.75,51.09
2024-06-19,SKU-001,Electronics,155.48,2,0,202.79,43.34
2024-06-20,SKU-001,Electronics,155.48,2,0,335.75,40.64
2024-06-21,SKU-001,Electronics,155.48,2,0,329.37,49.14
2024-06-22,SKU-001,Electronics,155.48,2,0,250.97,54.73
2024-06-23,SKU-001,Electronics,155.48,2,0,420.2,52.96
2024-06-24,SKU-001,Electronics,155.48,2,0,348.74,50.41
2024-06-25,SKU-001,Electronics,155.48,2,0,168.67,48.61
2024-06-26,SKU-001,Electronics,155.48,2,0,276.04,46.76
2024-06-27,SKU-001,Electronics,155.48,2,0,103.2,42.51
2024-06-28,SKU-001,Electronics,155.48,2,1,350.48,54.75
2024-06-29,SKU-001,Electronics,155.48,2,1,340.0,61.1
2024-06-30,SKU-001,Electronics,155.48,2,0,223.82,47.2
2024-07-01,SKU-001,Electronics,155.48,2,0,149.29,44.88
2024-07-02,SKU-001,Electronics,155.48,2,1,312.4,56.57
2024-07-03,SKU-001,Electronics,155.48,2,0,347.73,43.39
2024-07-04,SKU-001,Electronics,155.48,2,0,199.57,36.3
2024-07-05,SKU-001,Electronics,155.48,2,0,372.45,45.39
2024-07-06,SKU-001,Electronics,155.48,2,0,207.86,51.15
2024-07-07,SKU-001,Electronics,155.48,2,0,165.64,50.39
2024-07-08,SKU-001,Electronics,155.48,2,1,353.96,50.43
2024-07-09,SKU-001,Electronics,155.48,2,0,326.48,40.14
2024-07-10,SKU-001,Electronics,155.48,2,0,193.84,50.15
2024-07-11,SKU-001,Electronics,155.48,2,0,355.85,43.59
2024-07-12,SKU-001,Electronics,155.48,2,0,243.77,49.83
2024-07-13,SKU-001,Electronics,155.48,2,0,354.05,50.77
2024-07-14,SKU-001,Electronics,155.48,2,0,181.91,50.97
2024-07-15,SKU-001,Electronics,155.48,2,0,153.7,43.3
2024-07-16,SKU-001,Electronics,155.48,2,0,244.51,49.09
2024-07-17,SKU-001,Electronics,155.48,2,0,148.79,42.77
2024-07-18,SKU-001,Electronics,155.48,2,0,382.41,42.81
2024-07-19,SKU-001,Electronics,155.48,2,1,395.98,60.82
2024-07-20,SKU-001,Electronics,155.48,2,0,279.52,47.57
2024-07-21,SKU-001,Electronics,155.48,2,0,300.44,44.58
2024-07-22,SKU-001,Electronics,155.48,2,0,125.74,35.64
2024-07-23,SKU-001,Electronics,155.48,2,0,193.66,45.63
2024-07-24,SKU-001,Electronics,155.48,2,0,323.49,43.05
2024-07-25,SKU-001,Electronics,155.48,2,0,362.0,41.21
2024-07-26,SKU-001,Electronics,155.48,2,0,321.29,40.83
2024-07-27,SKU-001,Electronics,155.48,2,0,362.01,44.14
2024-07-28,SKU-001,Electronics,155.48,2,0,407.13,47.25
2024-07-29,SKU-001,Electronics,155.48,2,0,187.37,37.0
2024-07-30,SKU-001,Electronics,155.48,2,0,269.44,41.17
2024-07-31,SKU-001,Electronics,155.48,2,0,255.08,42.37
2024-08-01,SKU-001,Electronics,155.48,2,0,291.93,38.11
2024-08-02,SKU-001,Electronics,155.48,2,0,177.11,47.32
2024-08-03,SKU-001,Electronics,155.48,2,0,432.97,51.77
2024-08-04,SKU-001,Electronics,155.48,2,0,357.6,56.77
2024-08-05,SKU-001,Electronics,155.48,2,0,240.35,39.05
2024-08-06,SKU-001,Electronics,155.48,2,0,161.21,41.24
2024-08-07,SKU-001,Electronics,155.48,2,0,274.65,33.15
2024-08-08,SKU-001,Electronics,155.48,2,1,412.28,51.01
2024-08-09,SKU-001,Electronics,155.48,2,0,206.34,35.08
2024-08-10,SKU-001,Electronics,155.48,2,0,279.28,45.58
2024-08-11,SKU-001,Electronics,155.48,2,0,137.77,37.65
2024-08-12,SKU-001,Electronics,155.48,2,0,327.35,39.22
2024-08-13,SKU-001,Electronics,155.48,2,0,293.0,35.49
2024-08-14,SKU-001,Electronics,155.48,2,0,239.62,43.87
2024-08-15,SKU-001,Electronics,155.48,2,0,220.84,36.29
2024-08-16,SKU-001,Electronics,155.48,2,0,298.59,38.06
2024-08-17,SKU-001,Electronics,155.48,2,0,243.75,45.51
2024-08-18,SKU-001,Electronics,155.48,2,0,173.62,43.14
2024-08-19,SKU-001,Electronics,155.48,2,0,138.26,38.09
2024-08-20,SKU-001,Electronics,155.48,2,0,206.27,36.11
2024-08-21,SKU-001,Electronics,155.48,2,0,364.35,42.28
2024-08-22,SKU-001,Electronics,155.48,2,0,189.8,43.54
2024-08-23,SKU-001,Electronics,155.48,2,0,296.26,38.98
2024-08-24,SKU-001,Electronics,155.48,2,0,260.65,42.47
2024-08-25,SKU-001,Electronics,155.48,2,0,392.25,43.01
2024-08-26,SKU-001,Electronics,155.48,2,0,232.13,39.42
2024-08-27,SKU-001,Electronics,155.48,2,0,157.7,41.61
2024-08-28,SKU-001,Electronics,155.48,2,0,235.48,39.92
2024-08-29,SKU-001,Electronics,155.48,2,0,356.67,39.29
2024-08-30,SKU-001,Electronics,155.48,2,0,131.73,31.8
2024-08-31,SKU-001,Electronics,155.48,2,0,194.56,39.93
2024-09-01,SKU-001,Electronics,155.48,2,0,353.43,42.41
2024-09-02,SKU-001,Electronics,155.48,2,0,233.19,34.2
2024-09-03,SKU-001,Electronics,155.48,2,0,138.04,36.82
2024-09-04,SKU-001,Electronics,155.48,2,0,252.4,36.66
2024-09-05,SKU-001,Electronics,155.48,2,0,266.93,34.03
2024-09-06,SKU-001,Electronics,155.48,2,0,196.47,32.47
2024-09-07,SKU-001,Electronics,155.48,2,0,308.43,42.84
2024-09-08,SKU-001,Electronics,155.48,2,1,401.93,48.65
2024-09-09,SKU-001,Electronics,155.48,2,0,379.1,40.55
2024-09-10,SKU-001,Electronics,155.48,2,0,247.04,36.97
2024-09-11,SKU-001,Electronics,155.48,2,0,207.55,37.79
2024-09-12,SKU-001,Electronics,155.48,2,0,201.85,35.78
2024-09-13,SKU-001,Electronics,155.48,2,1,358.48,50.07
2024-09-14,SKU-001,Electronics,155.48,2,1,197.14,48.88
2024-09-15,SKU-001,Electronics,155.48,2,0,266.07,37.86
2024-09-16,SKU-001,Electronics,155.48,2,0,173.92,35.91
2024-09-17,SKU-001,Electronics,155.48,2,0,209.54,38.57
2024-09-18,SKU-001,Electronics,155.48,2,0,132.32,29.22
2024-09-19,SKU-001,Electronics,155.48,2,0,215.49,41.31
2024-09-20,SKU-001,Electronics,155.48,2,1,390.03,45.48
2024-09-21,SKU-001,Electronics,155.48,2,0,345.81,44.33
2024-09-22,SKU-001,Electronics,155.48,2,0,286.92,43.92
2024-09-23,SKU-001,Electronics,155.48,2,0,284.85,35.02
2024-09-24,SKU-001,Electronics,155.48,2,0,248.03,32.47
2024-09-25,SKU-001,Electronics,155.48,2,0,144.24,31.97
2024-09-26,SKU-001,Electronics,155.48,2,0,240.99,37.34
2024-09-27,SKU-001,Electronics,155.48,2,0,278.26,35.27
2024-09-28,SKU-001,Electronics,155.48,2,1,403.53,49.05
2024-09-29,SKU-001,Electronics,155.48,2,0,146.62,40.62
2024-09-30,SKU-001,Electronics,155.48,2,0,151.66,33.61
2024-10-01,SKU-001,Electronics,155.48,2,0,312.76,34.79
2024-10-02,SKU-001,Electronics,155.48,2,0,179.49,38.46
2024-10-03,SKU-001,Electronics,155.48,2,0,264.68,31.88
2024-10-04,SKU-001,Electronics,155.48,2,0,220.76,34.78
2024-10-05,SKU-001,Electronics,155.48,2,0,349.86,39.0
2024-10-06,SKU-001,Electronics,155.48,2,1,503.71,54.75
2024-10-07,SKU-001,Electronics,155.48,2,0,137.39,39.17
2024-10-08,SKU-001,Electronics,155.48,2,0,303.79,39.5
2024-10-09,SKU-001,Electronics,155.48,2,0,295.87,40.03
2024-10-10,SKU-001,Electronics,155.48,2,0,140.89,36.16
2024-10-11,SKU-001,Electronics,155.48,2,1,271.32,46.13
2024-10-12,SKU-001,Electronics,155.48,2,1,295.17,53.17
2024-10-13,SKU-001,Electronics,155.48,2,1,413.16,52.23
2024-10-14,SKU-001,Electronics,155.48,2,0,230.96,29.59
2024-10-15,SKU-001,Electronics,155.48,2,0,245.54,42.15
2024-10-16,SKU-001,Electronics,155.48,2,0,225.09,37.35
2024-10-17,SKU-001,Electronics,155.48,2,0,116.56,28.9
2024-10-18,SKU-001,Electronics,155.48,2,0,134.1,39.78
2024-10-19,SKU-001,Electronics,155.48,2,0,259.89,45.53
2024-10-20,SKU-001,Electronics,155.48,2,0,228.5,39.85
2024-10-21,SKU-001,Electronics,155.48,2,0,330.79,42.74
2024-10-22,SKU-001,Electronics,155.48,2,0,148.68,36.18
2024-10-23,SKU-001,Electronics,155.48,2,0,301.56,34.44
2024-10-24,SKU-001,Electronics,155.48,2,1,280.76,46.81
2024-10-25,SKU-001,Electronics,155.48,2,0,233.06,34.06
2024-10-26,SKU-001,Electronics,155.48,2,0,204.04,42.77
2024-10-27,SKU-001,Electronics,155.48,2,0,329.87,45.38
2024-10-28,SKU-001,Electronics,155.48,2,1,369.28,43.48
2024-10-29,SKU-001,Electronics,155.48,2,0,232.77,37.4
2024-10-30,SKU-001,Electronics,155.48,2,0,203.93,40.67
2024-10-31,SKU-001,Electronics,155.48,2,0,132.84,34.71
2024-11-01,SKU-001,Electronics,155.48,2,0,146.01,36.37
2024-11-02,SKU-001,Electronics,155.48,2,0,195.2,40.35
2024-11-03,SKU-001,Electronics,155.48,2,0,285.37,43.93
2024-11-04,SKU-001,Electronics,155.48,2,0,108.1,35.78
2024-11-05,SKU-001,Electronics,155.48,2,1,173.21,41.09
2024-11-06,SKU-001,Electronics,155.48,2,0,277.45,43.16
2024-11-07,SKU-001,Electronics,155.48,2,1,244.91,51.29
2024-11-08,SKU-001,Electronics,155.48,2,0,146.94,40.72
2024-11-09,SKU-001,Electronics,155.48,2,0,223.6,43.73
2024-11-10,SKU-001,Electronics,155.48,2,0,212.82,45.57
2024-11-11,SKU-001,Electronics,155.48,2,0,174.11,35.34
2024-11-12,SKU-001,Electronics,155.48,2,0,309.23,39.29
2024-11-13,SKU-001,Electronics,155.48,2,0,214.03,33.52
2024-11-14,SKU-001,Electronics,155.48,2,0,245.65,40.32
2024-11-15,SKU-001,Electronics,155.48,2,0,132.63,39.2
2024-11-16,SKU-001,Electronics,155.48,2,0,184.16,44.52
2024-11-17,SKU-001,Electronics,155.48,2,0,359.17,43.87
2024-11-18,SKU-001,Electronics,155.48,2,0,160.26,41.78
2024-11-19,SKU-001,Electronics,155.48,2,0,266.36,41.09
2024-11-20,SKU-001,Electronics,155.48,2,1,359.14,56.84
2024-11-21,SKU-001,Electronics,155.48,2,0,204.15,32.15
2024-11-22,SKU-001,Electronics,155.48,2,1,259.78,52.19
2024-11-23,SKU-001,Electronics,155.48,2,0,215.13,47.97
2024-11-24,SKU-001,Electronics,155.48,2,0,245.71,37.47
2024-11-25,SKU-001,Electronics,155.48,2,0,142.42,38.03
2024-11-26,SKU-001,Electronics,155.48,2,0,271.04,33.02
2024-11-27,SKU-001,Electronics,155.48,2,0,229.15,31.71
2024-11-28,SKU-001,Electronics,155.48,2,0,158.67,39.51
2024-11-29,SKU-001,Electronics,155.48,2,0,231.69,42.33
2024-11-30,SKU-001,Electronics,155.48,2,1,365.53,60.13
2024-12-01,SKU-001,Electronics,155.48,2,0,208.22,44.04
2024-12-02,SKU-001,Electronics,155.48,2,1,321.36,56.28
2024-12-03,SKU-001,Electronics,155.48,2,0,206.93,44.04
2024-12-04,SKU-001,Electronics,155.48,2,0,361.44,42.47
2024-12-05,SKU-001,Electronics,155.48,2,1,454.62,55.64
2024-12-06,SKU-001,Electronics,155.48,2,0,131.29,43.29
2024-12-07,SKU-001,Electronics,155.48,2,0,168.06,55.22
2024-12-08,SKU-001,Electronics,155.48,2,0,161.01,46.65
2024-12-09,SKU-001,Electronics,155.48,2,0,354.55,43.4
2024-12-10,SKU-001,Electronics,155.48,2,0,255.2,40.44
2024-12-11,SKU-001,Electronics,155.48,2,0,415.66,45.7
2024-12-12,SKU-001,Electronics,155.48,2,0,405.56,43.89
2024-12-13,SKU-001,Electronics,155.48,2,0,380.48,46.12
2024-12-14,SKU-001,Electronics,155.48,2,0,164.02,42.15
2024-12-15,SKU-001,Electronics,155.48,2,0,431.04,48.72
2024-12-16,SKU-001,Electronics,155.48,2,0,185.46,32.75
2024-12-17,SKU-001,Electronics,155.48,2,0,137.77,43.54
2024-12-18,SKU-001,Electronics,155.48,2,0,365.87,40.04
2024-12-19,SKU-001,Electronics,155.48,2,1,270.64,57.31
2024-12-20,SKU-001,Electronics,155.48,2,0,349.04,42.96
2024-12-21,SKU-001,Electronics,155.48,2,0,180.2,47.83
2024-12-22,SKU-001,Electronics,155.48,2,0,447.58,51.66
2024-12-23,SKU-001,Electronics,155.48,2,0,391.39,45.87
2024-12-24,SKU-001,Electronics,155.48,2,0,234.97,48.7
2024-12-25,SKU-001,Electronics,155.48,2,0,415.83,47.89
2024-12-26,SKU-001,Electronics,155.48,2,0,200.01,43.69
2024-12-27,SKU-001,Electronics,155.48,2,0,245.45,41.3
2024-12-28,SKU-001,Electronics,155.48,2,0,440.94,52.77
2024-12-29,SKU-001,Electronics,155.48,2,1,356.12,58.42
2024-12-30,SKU-001,Electronics,155.48,2,0,220.14,34.36
2024-12-31,SKU-001,Electronics,155.48,2,0,326.12,46.44
2025-01-01,SKU-001,Electronics,155.48,2,0,433.21,46.18
2025-01-02,SKU-001,Electronics,155.48,2,0,152.68,43.14
2025-01-03,SKU-001,Electronics,155.48,2,0,243.32,44.0
2025-01-04,SKU-001,Electronics,155.48,2,0,266.53,51.35
2025-01-05,SKU-001,Electronics,155.48,2,0,260.7,48.57
2025-01-06,SKU-001,Electronics,155.48,2,0,320.74,45.98
2025-01-07,SKU-001,Electronics,155.48,2,0,166.88,39.61
2025-01-08,SKU-001,Electronics,155.48,2,0,315.3,37.97
2025-01-09,SKU-001,Electronics,155.48,2,1,237.42,53.95
2025-01-10,SKU-001,Electronics,155.48,2,0,406.69,48.42
2025-01-11,SKU-001,Electronics,155.48,2,0,232.54,49.19
2025-01-12,SKU-001,Electronics,155.48,2,0,256.22,52.9
2025-01-13,SKU-001,Electronics,155.48,2,0,130.28,42.94
2025-01-14,SKU-001,Electronics,155.48,2,0,319.91,42.79
2025-01-15,SKU-001,Electronics,155.48,2,0,236.44,44.82
2025-01-16,SKU-001,Electronics,155.48,2,0,217.19,49.0
2025-01-17,SKU-001,Electronics,155.48,2,0,189.2,47.81
2025-01-18,SKU-001,Electronics,155.48,2,0,206.2,45.98
2025-01-19,SKU-001,Electronics,155.48,2,0,369.02,58.04
2025-01-20,SKU-001,Electronics,155.48,2,0,312.71,37.84
2025-01-21,SKU-001,Electronics,155.48,2,0,177.89,51.75
2025-01-22,SKU-001,Electronics,155.48,2,0,278.05,50.22
2025-01-23,SKU-001,Electronics,155.48,2,0,146.04,43.93
2025-01-24,SKU-001,Electronics,155.48,2,0,401.06,42.18
2025-01-25,SKU-001,Electronics,155.48,2,0,307.93,57.21
2025-01-26,SKU-001,Electronics,155.48,2,0,258.93,53.47
2025-01-27,SKU-001,Electronics,155.48,2,0,197.9,50.05
2025-01-28,SKU-001,Electronics,155.48,2,0,370.32,47.44
2025-01-29,SKU-001,Electronics,155.48,2,0,404.48,51.66
2025-01-30,SKU-001,Electronics,155.48,2,0,332.58,49.5
2025-01-31,SKU-001,Electronics,155.48,2,0,413.93,46.83
2025-02-01,SKU-001,Electronics,155.48,2,0,220.04,49.43
2025-02-02,SKU-001,Electronics,155.48,2,0,423.5,55.23
2025-02-03,SKU-001,Electronics,155.48,2,1,606.07,67.03
2025-02-04,SKU-001,Electronics,155.48,2,0,374.89,49.04
2025-02-05,SKU-001,Electronics,155.48,2,0,243.55,43.87
2025-02-06,SKU-001,Electronics,155.48,2,0,261.98,48.18
2025-02-07,SKU-001,Electronics,155.48,2,0,427.66,47.3
2025-02-08,SKU-001,Electronics,155.48,2,0,238.63,56.9
2025-02-09,SKU-001,Electronics,155.48,2,0,328.63,60.24
2025-02-10,SKU-001,Electronics,155.48,2,0,264.1,55.14
2025-02-11,SKU-001,Electronics,155.48,2,0,221.34,48.98
2025-02-12,SKU-001,Electronics,155.48,2,0,447.62,50.75
2025-02-13,SKU-001,Electronics,155.48,2,0,226.9,44.17
